Time (s)	Real (E)	Complex (E)
-4.249048528463214e-11	3.0705769637039533e-13	-4.054190555325654e-13
-4.247348909051615e-11	-1.3485256115890988e-14	-2.0313646884649706e-13
-4.2456492896400164e-11	-2.909007829785345e-13	-2.030401482446235e-13
-4.2439496702284176e-11	-1.178950021426909e-13	3.885863759815333e-13
-4.242250050816819e-11	-1.08053599023645e-13	2.2027799865973093e-13
-4.24055043140522e-11	2.4159747066946923e-13	-5.161151408398612e-13
-4.238850811993621e-11	2.2652326139149588e-13	2.8979874723961754e-13
-4.2371511925820225e-11	-4.123139063817584e-14	6.156797866837999e-13
-4.235451573170424e-11	3.775202752920088e-13	-2.818430113271277e-13
-4.233751953758825e-11	2.6058850416146715e-13	-3.146460532194807e-13
-4.232052334347226e-11	-6.067125445465419e-14	-1.6221278175340664e-13
-4.2303527149356273e-11	-4.0953939290108817e-13	-2.1563670620939668e-13
-4.2286530955240285e-11	-1.2407292716320705e-13	4.73390426037888e-13
-4.22695347611243e-11	-1.137590171004088e-13	1.4557327489650536e-13
-4.225253856700831e-11	1.3083396753782205e-13	-5.103054544819498e-13
-4.223554237289232e-11	2.0020148078207221e-13	3.350688941026103e-13
-4.2218546178776334e-11	1.2070993334306021e-14	4.186247615665109e-13
-4.2201549984660346e-11	3.0914530777855355e-13	-3.60514675588133e-13
-4.218455379054436e-11	2.536618960300524e-13	-1.7044969766213074e-13
-4.216755759642837e-11	-1.3703371599870504e-13	-1.2684483757456036e-13
-4.215056140231238e-11	-4.994514251122402e-13	-2.240506517535287e-13
-4.2133565208196394e-11	-9.748300708753466e-14	5.103534250407366e-13
-4.2116569014080406e-11	-1.0571362861077014e-13	5.5922047831763106e-14
-4.209957281996442e-11	3.1371192791127697e-14	-4.3707729519920346e-13
-4.208257662584843e-11	1.9193746692188055e-13	3.3379730557476663e-13
-4.206558043173244e-11	3.270435840393945e-14	1.816437138360078e-13
-4.2048584237616455e-11	2.615481189453451e-13	-4.0616954225227203e-13
-4.203158804350047e-11	2.728330923053975e-13	1.9414606565644407e-14
-4.201459184938448e-11	-2.366594326821061e-13	-1.0847210160916606e-13
-4.199759565526849e-11	-5.541091112534388e-13	-2.314993915557085e-13
-4.1980599461152503e-11	-3.1509815746723987e-14	4.963676259695942e-13
-4.1963603267036515e-11	-7.994693481711943e-14	-1.7630740391517832e-14
-4.194660707292053e-11	-4.9589784331741394e-14	-3.1696596261916687e-13
-4.192961087880454e-11	1.8967331797429885e-13	2.8292717608396826e-13
-4.191261468468855e-11	2.0219710011331504e-14	-7.175918993407285e-14
-4.1895618490572564e-11	2.46816650827e-13	-3.9991158892302063e-13
-4.1878622296456576e-11	2.9399053143345724e-13	2.323555375034551e-13
-4.186162610234059e-11	-3.441015965818346e-13	-1.1337452817865101e-13
-4.18446299082246e-11	-5.731863614048395e-13	-2.360972218871318e-13
-4.182763371410861e-11	7.301991968012765e-14	4.3613469229095267e-13
-4.1810637519992624e-11	-3.7372046614673873e-14	-5.078160017664382e-14
-4.1793641325876637e-11	-1.1372390911264552e-13	-1.8074790323849097e-13
-4.177664513176065e-11	1.8208051394731504e-13	1.9139723654212785e-13
-4.175964893764466e-11	-1.4350688250888444e-14	-3.164378895466138e-13
-4.174265274352867e-11	2.6321897580661013e-13	-3.287843640712941e-13
-4.1725656549412685e-11	2.9223642178918403e-13	4.350696267891784e-13
-4.17086603552967e-11	-4.3831249446514853e-13	-1.4062775548234917e-13
-4.169166416118071e-11	-5.621580007940746e-13	-2.348774043301927e-13
-4.167466796706472e-11	2.072459815820776e-13	3.4256306006968647e-13
-4.1657671772948733e-11	1.3734864389199829e-14	-3.449602335673439e-14
-4.1640675578832746e-11	-1.658895003254836e-13	-5.943806744275312e-14
-4.162367938471676e-11	1.6156274895190528e-13	7.527153839995317e-14
-4.160668319060077e-11	-5.2321001302374494e-14	-5.27463015845605e-13
-4.158968699648478e-11	2.9493631310206656e-13	-1.917339767062758e-13
-4.1572690802368794e-11	2.5164880848673814e-13	5.909901590647465e-13
-4.1555694608252806e-11	-4.987489030502548e-13	-1.8270128159668263e-13
-4.153869841413682e-11	-5.301897893921251e-13	-2.2698337791515011e-13
-4.152170222002083e-11	3.556918515900957e-13	2.347204989829676e-13
-4.150470602590484e-11	5.90885485061349e-14	2.179358208012259e-14
-4.1487709831788854e-11	-2.0845607571869306e-13	2.468477114329022e-14
-4.1470713637672867e-11	1.2548232301865458e-13	-4.7615133932404486e-14
-4.145371744355688e-11	-7.385419460648004e-14	-6.820102138157626e-13
-4.143672124944089e-11	3.17703416036554e-13	-3.863279874509378e-15
-4.14197250553249e-11	1.7107459292976363e-13	6.69080279955721e-13
-4.1402728861208915e-11	-5.114280730054457e-13	-2.2791733582355575e-13
-4.138573266709293e-11	-4.875015275054571e-13	-2.1386031264611121e-13
-4.136873647297694e-11	4.988783191296968e-13	1.3235596586240866e-13
-4.135174027886095e-11	8.367874636788488e-14	9.382803859957392e-14
-4.1334744084744963e-11	-2.393113514530674e-13	6.347561772482206e-14
-4.1317747890628976e-11	7.680281252916758e-14	-1.6176423184258457e-13
-4.130075169651299e-11	-6.469792498257022e-14	-7.622239616931269e-13
-4.1283755502397e-11	3.0784500027663667e-13	2.0365438628839987e-13
-4.126675930828101e-11	6.415806119109488e-14	6.518627462124206e-13
-4.1249763114165024e-11	-4.732093135432496e-13	-2.632066784020221e-13
-4.1232766920049036e-11	-4.426477038847679e-13	-1.9728804788878236e-13
-4.121577072593305e-11	6.175769336622748e-13	4.837189785845792e-14
-4.119877453181706e-11	7.858575001465039e-14	1.5184266485732556e-13
-4.118177833770107e-11	-2.548000544646702e-13	6.328445805198446e-14
-4.1164782143585085e-11	2.4159626820870346e-14	-2.562304031962219e-13
-4.1147785949469097e-11	-2.034634173947665e-14	-7.595070292073893e-13
-4.113078975535311e-11	2.509599031908635e-13	3.8921036016919166e-13
-4.111379356123712e-11	-4.5915479091593265e-14	5.400473320111331e-13
-4.109679736712113e-11	-3.9270852186746097e-13	-2.7591446262967074e-13
-4.1079801173005145e-11	-4.007632044096855e-13	-1.7775254458006441e-13
-4.106280497888916e-11	6.975548983335435e-13	-1.685839505646308e-14
-4.104580878477317e-11	4.520278946989307e-14	1.715430909996471e-13
-4.102881259065718e-11	-2.5453029384646186e-13	4.0990986223538786e-14
-4.1011816396541194e-11	-1.8353873291806877e-14	-3.2553259480070215e-13
-4.0994820202425206e-11	5.306302755324862e-14	-6.77865822993667e-13
