Time (s)	Real (E)	Complex (E)
-4.249048528463214e-11	-1.2864100998993013e-14	-1.4472432860714296e-13
-4.247348909051615e-11	-3.2163674444502136e-13	-1.8009471534283098e-13
-4.2456492896400164e-11	-4.3613768246636533e-13	-4.1358006957999707e-13
-4.2439496702284176e-11	-5.283163762934871e-13	-4.387532606130484e-13
-4.242250050816819e-11	-4.193050198222089e-13	-7.97351421931942e-14
-4.24055043140522e-11	1.6585377881163595e-13	4.949223484090402e-13
-4.238850811993621e-11	8.527499133149126e-13	9.905152803293658e-13
-4.2371511925820225e-11	9.610313322452416e-13	1.2499365791431393e-12
-4.235451573170424e-11	4.902212720366617e-13	9.657571811319623e-13
-4.233751953758825e-11	1.5777302442194418e-14	4.734366319355058e-14
-4.232052334347226e-11	-8.179323830067723e-14	-8.971172391656728e-13
-4.2303527149356273e-11	1.1386997667158834e-13	-1.2606557488215245e-12
-4.2286530955240285e-11	9.187133575029122e-14	-1.0107996104726606e-12
-4.22695347611243e-11	-3.2787304112183614e-13	-5.64435400660887e-13
-4.225253856700831e-11	-6.37945492390935e-13	-4.1320760815050425e-13
-4.223554237289232e-11	-5.677946720533284e-13	-5.04668169391245e-13
-4.2218546178776334e-11	-4.02095895731348e-13	-4.2844112144900035e-13
-4.2201549984660346e-11	-1.1894695130675089e-13	2.0464388288981412e-14
-4.218455379054436e-11	5.375306904350529e-13	6.438787338106262e-13
-4.216755759642837e-11	1.2161548213804097e-12	1.08009954967271e-12
-4.215056140231238e-11	1.234736845005958e-12	1.2700200599751805e-12
-4.2133565208196394e-11	6.253448224746135e-13	1.0426609854759297e-12
-4.2116569014080406e-11	1.6518294148996958e-14	1.715377151253444e-13
-4.209957281996442e-11	-2.357434719110869e-13	-9.1474121212714e-13
-4.208257662584843e-11	-1.9343160394659564e-13	-1.5196492378369629e-12
-4.206558043173244e-11	-2.8139885970815173e-13	-1.390646716543552e-12
-4.2048584237616455e-11	-6.682376289916486e-13	-8.594081164307347e-13
-4.203158804350047e-11	-8.542254152154099e-13	-5.411714665660596e-13
-4.201459184938448e-11	-5.667720552910548e-13	-5.379029308042774e-13
-4.199759565526849e-11	-1.8858092561835135e-13	-4.3483505021911816e-13
-4.1980599461152503e-11	1.7777480490134803e-13	4.3046217340870725e-14
-4.1963603267036515e-11	7.980039851353776e-13	6.913062126427971e-13
-4.194660707292053e-11	1.4041928236704406e-12	1.062389398597536e-12
-4.192961087880454e-11	1.357108848648966e-12	1.1546743422069635e-12
-4.191261468468855e-11	7.035577515792477e-13	9.881317398964815e-13
-4.1895618490572564e-11	6.299307007275468e-14	2.830929889604835e-13
-4.1878622296456576e-11	-3.0757898553778103e-13	-7.752051876081502e-13
-4.186162610234059e-11	-4.71828129551824e-13	-1.5333449111149996e-12
-4.18446299082246e-11	-6.713301165692821e-13	-1.5480048586437503e-12
-4.182763371410861e-11	-9.802574793685265e-13	-9.99279903923879e-13
-4.1810637519992624e-11	-9.705448223077119e-13	-5.633532611384985e-13
-4.1793641325876637e-11	-4.660432943272426e-13	-4.989567471132364e-13
-4.177664513176065e-11	5.006503226403438e-14	-4.115070156478354e-13
-4.175964893764466e-11	3.89906866902018e-13	4.3414900832116234e-14
-4.174265274352867e-11	8.719678786512211e-13	6.797290601713659e-13
-4.1725656549412685e-11	1.3704940836792221e-12	9.813553147456028e-13
-4.17086603552967e-11	1.3175880143673248e-12	9.535650348352977e-13
-4.169166416118071e-11	7.404562574856361e-13	8.090869849295972e-13
-4.167466796706472e-11	1.9538089697286738e-13	3.150193651784648e-13
-4.1657671772948733e-11	-2.0872473059790246e-13	-5.710866266983955e-13
-4.1640675578832746e-11	-5.80696351830812e-13	-1.3534242290746127e-12
-4.162367938471676e-11	-9.377527773193243e-13	-1.4936479170889295e-12
-4.160668319060077e-11	-1.1903016775765117e-12	-9.966529481096668e-13
-4.158968699648478e-11	-9.962128757728009e-13	-5.020536699167177e-13
-4.1572690802368794e-11	-3.251576332125756e-13	-3.833875808112166e-13
-4.1555694608252806e-11	2.39276055282459e-13	-3.0722944446719505e-13
-4.153869841413682e-11	4.5301154567412186e-13	9.365833496478501e-14
-4.152170222002083e-11	7.182911055335912e-13	6.667539818431995e-13
-4.150470602590484e-11	1.0955790057522644e-12	8.846788298111088e-13
-4.1487709831788854e-11	1.1094717108428023e-12	7.284595476609828e-13
-4.1470713637672867e-11	7.272163117598845e-13	5.54359366064661e-13
-4.145371744355688e-11	3.9673394717975327e-13	2.458685672468974e-13
-4.143672124944089e-11	6.632567333338548e-14	-3.9697021422173464e-13
-4.14197250553249e-11	-4.58446102296229e-13	-1.087532472893186e-12
-4.1402728861208915e-11	-9.877339060415354e-13	-1.302417595432181e-12
-4.138573266709293e-11	-1.2360568421975043e-12	-9.022188917875097e-13
-4.136873647297694e-11	-9.329452975048041e-13	-3.9972204483580865e-13
-4.135174027886095e-11	-1.884080866668131e-13	-2.0952080666091819e-13
-4.1334744084744963e-11	3.320974330883784e-13	-9.862047801049597e-14
-4.1317747890628976e-11	3.4928205419964835e-13	2.462772988794213e-13
-4.130075169651299e-11	3.551256102097453e-13	7.028987738233229e-13
-4.1283755502397e-11	6.076553743008093e-13	8.088244049529885e-13
-4.126675930828101e-11	7.404384623979571e-13	5.262146368123466e-13
-4.1249763114165024e-11	6.359641335615987e-13	2.8454509040207263e-13
-4.1232766920049036e-11	6.004084533870727e-13	1.0051204158804783e-13
-4.121577072593305e-11	4.389454030312073e-13	-3.0622834978331837e-13
-4.119877453181706e-11	-1.4708698636719325e-13	-8.435781107791378e-13
-4.118177833770107e-11	-8.204792258512026e-13	-1.0744324353343546e-12
-4.1164782143585085e-11	-1.1092864699405284e-12	-7.819274440816186e-13
-4.1147785949469097e-11	-7.892797323389479e-13	-3.0702064381220723e-13
-4.113078975535311e-11	-7.091643066199724e-14	-2.235652109694932e-14
-4.111379356123712e-11	3.3106349633669485e-13	1.8640826167101636e-13
-4.109679736712113e-11	1.1914035009640873e-13	5.012416464257758e-13
-4.1079801173005145e-11	-1.3875988422343762e-13	8.067881023667133e-13
-4.106280497888916e-11	-1.32670907454966e-14	7.668925641968258e-13
-4.104580878477317e-11	2.4577284691386825e-13	3.618381263401913e-13
-4.102881259065718e-11	4.434088698847708e-13	4.0154302799146667e-14
-4.1011816396541194e-11	7.304260833249874e-13	-7.364143773159526e-14
-4.0994820202425206e-11	7.942287679395106e-13	-2.9460035334170206e-13
-4.097782400830922e-11	2.392089076279526e-13	-6.788730550807024e-13
-4.096082781419323e-11	-5.230300742597854e-13	-8.846685078456658e-13
-4.094383162007724e-11	-8.735106941899078e-13	-6.822973815191825e-13
-4.0926835425961254e-11	-6.042311992723146e-13	-2.562806478248967e-13
-4.0909839231845266e-11	2.4896442428619173e-14	1.2591523393840107e-13
-4.089284303772928e-11	2.78578015544958e-13	4.751870058046397e-13
-4.087584684361329e-11	-1.5244886608382914e-13	7.965501559703043e-13
-4.08588506494973e-11	-6.476890691231782e-13	9.493112816059196e-13
-4.0841854455381315e-11	-6.539927911894386e-13	7.434973556516215e-13
