Time (s)	Real (E)	Complex (E)
-4.249048528463214e-11	-2.1306240875804035e-13	-7.490497745752587e-14
-4.247348909051615e-11	-1.7989731756221424e-13	1.6682604915597455e-14
-4.2456492896400164e-11	-1.1067341242125342e-13	1.1513790073336996e-13
-4.2439496702284176e-11	1.1724988161885096e-14	1.855625943372132e-13
-4.242250050816819e-11	1.3162827538365962e-13	1.9097740725280895e-13
-4.24055043140522e-11	1.5576211273954817e-13	1.3093615750126633e-13
-4.238850811993621e-11	7.789220995740439e-14	7.384435117337426e-14
-4.2371511925820225e-11	-2.89339297083398e-14	6.13773262828995e-14
-4.235451573170424e-11	-9.00531285001175e-14	2.8996957110863654e-14
-4.233751953758825e-11	-9.365818270860843e-14	-6.076216975094591e-14
-4.232052334347226e-11	-1.0392979835172245e-13	-1.4649846239988394e-13
-4.2303527149356273e-11	-1.6640831700040076e-13	-1.6883596708828193e-13
-4.2286530955240285e-11	-2.282612950370618e-13	-1.3303741828440456e-13
-4.22695347611243e-11	-2.335106130331263e-13	-6.518451536738562e-14
-4.225253856700831e-11	-1.8323663352809356e-13	1.1642639737002238e-14
-4.223554237289232e-11	-9.220839620013162e-14	8.45611037116868e-14
-4.2218546178776334e-11	3.696925640970323e-14	1.407912977765849e-13
-4.2201549984660346e-11	1.561673773383422e-13	1.6557273665451934e-13
-4.218455379054436e-11	1.8225939245292388e-13	1.5678038467050816e-13
-4.216755759642837e-11	1.1355801324769562e-13	1.5263167004347183e-13
-4.215056140231238e-11	1.913467677543738e-14	1.6790953296795151e-13
-4.2133565208196394e-11	-4.6432909783301055e-14	1.3245510497128326e-13
-4.2116569014080406e-11	-7.268380045424626e-14	2.3219137620993755e-14
-4.209957281996442e-11	-1.056236268803149e-13	-8.247822951556868e-14
-4.208257662584843e-11	-1.848444514747404e-13	-1.2375433358033977e-13
-4.206558043173244e-11	-2.54887317004186e-13	-1.0224056926051474e-13
-4.2048584237616455e-11	-2.4795416225981904e-13	-4.35807946822773e-14
-4.203158804350047e-11	-1.665351538582779e-13	1.5367709264486565e-14
-4.201459184938448e-11	-5.397010324125688e-14	5.4620174478372175e-14
-4.199759565526849e-11	6.692594364434288e-14	8.179409234654721e-14
-4.1980599461152503e-11	1.721050181287828e-13	1.120858178810264e-13
-4.1963603267036515e-11	2.053623176899838e-13	1.450907717765445e-13
-4.194660707292053e-11	1.604035247282361e-13	1.876429836139807e-13
-4.192961087880454e-11	8.343179890474231e-14	2.288143402258747e-13
-4.191261468468855e-11	5.8343502071271214e-15	1.9801317141092736e-13
-4.1895618490572564e-11	-5.54246126107473e-14	8.652498251709962e-14
-4.1878622296456576e-11	-1.1709354989298812e-13	-1.8039497178725472e-14
-4.186162610234059e-11	-2.0987471568167723e-13	-6.418815147416512e-14
-4.18446299082246e-11	-2.8283516678809987e-13	-5.74724962761207e-14
-4.182763371410861e-11	-2.5923843280224286e-13	-1.3201657054689803e-14
-4.1810637519992624e-11	-1.4470135190828755e-13	2.939322868370537e-14
-4.1793641325876637e-11	-1.5537646660803543e-14	3.5479941742309745e-14
-4.177664513176065e-11	8.448067769266026e-14	2.2963085366781607e-14
-4.175964893764466e-11	1.6294595095874947e-13	4.011244962403213e-14
-4.174265274352867e-11	2.0381617043147706e-13	9.703297705874914e-14
-4.1725656549412685e-11	1.946024760624171e-13	1.7546349654186714e-13
-4.17086603552967e-11	1.439997452972073e-13	2.402302727624893e-13
-4.169166416118071e-11	5.723588005334276e-14	2.2093294565237281e-13
-4.167466796706472e-11	-3.6261399227546444e-14	1.199341608578656e-13
-4.1657671772948733e-11	-1.193708526189485e-13	3.167347321985551e-14
-4.1640675578832746e-11	-2.171388973395992e-13	-4.798244048991458e-15
-4.162367938471676e-11	-2.931032601871944e-13	-8.248485694329402e-15
-4.160668319060077e-11	-2.627238311749514e-13	1.8129276055329298e-14
-4.158968699648478e-11	-1.2829390595691488e-13	4.740853388851557e-14
-4.1572690802368794e-11	6.112316653388708e-15	2.9373728799790715e-14
-4.1555694608252806e-11	7.613775567155794e-14	-2.3554780958468463e-14
-4.153869841413682e-11	1.1786956032920116e-13	-3.628531739117474e-14
-4.152170222002083e-11	1.601999887204181e-13	2.320503263467079e-14
-4.150470602590484e-11	1.9181361577273483e-13	1.2588619417096946e-13
-4.1487709831788854e-11	1.7976827489983914e-13	2.1416662156169586e-13
-4.1470713637672867e-11	9.795348640609644e-14	2.127195155960569e-13
-4.145371744355688e-11	-1.2078313490785453e-14	1.287869314503423e-13
-4.143672124944089e-11	-9.971872536411427e-14	6.145586527200956e-14
-4.14197250553249e-11	-1.8829209070334494e-13	4.2801523688206294e-14
-4.1402728861208915e-11	-2.6693029635142867e-13	3.596984648401848e-14
-4.138573266709293e-11	-2.465167579232726e-13	4.228453375407677e-14
-4.136873647297694e-11	-1.1533564205975691e-13	5.916806545816849e-14
-4.135174027886095e-11	8.141630241295768e-15	3.041891460450601e-14
-4.1334744084744963e-11	4.2568760039139704e-14	-5.194720450516573e-14
-4.1317747890628976e-11	4.181727111244808e-14	-1.0288024798860074e-13
-4.130075169651299e-11	7.43702509402086e-14	-6.050984242716669e-14
-4.1283755502397e-11	1.418646255986712e-13	5.5238796132154045e-14
-4.126675930828101e-11	1.782822332381375e-13	1.6875835226557703e-13
-4.1249763114165024e-11	1.2129188944979676e-13	1.9160296153883037e-13
-4.1232766920049036e-11	1.5782411345917077e-14	1.2754897225207898e-13
-4.121577072593305e-11	-5.859344333219954e-14	7.718266114123846e-14
-4.119877453181706e-11	-1.2249345542646303e-13	7.551324905374314e-14
-4.118177833770107e-11	-1.972282090950937e-13	7.073530372604602e-14
-4.1164782143585085e-11	-1.9809713445632928e-13	5.680424656341005e-14
-4.1147785949469097e-11	-9.240012617400693e-14	5.913669988497436e-14
-4.113078975535311e-11	4.053035799187836e-15	3.1551634828438036e-14
-4.111379356123712e-11	1.4795028793628444e-16	-6.168447894874565e-14
-4.109679736712113e-11	-4.459355234438835e-14	-1.48499751920424e-13
-4.1079801173005145e-11	-3.4992688248694566e-14	-1.3749246758411474e-13
-4.106280497888916e-11	5.3338419434039636e-14	-1.989415200950637e-14
-4.104580878477317e-11	1.3963680206084456e-13	1.1872939228680867e-13
-4.102881259065718e-11	1.251045310701422e-13	1.7052974719410018e-13
-4.1011816396541194e-11	4.33736085814464e-14	1.282712884963097e-13
-4.0994820202425206e-11	-6.8968744934633624e-15	8.8800025457131e-14
-4.097782400830922e-11	-3.675171535416637e-14	9.729578919605628e-14
-4.096082781419323e-11	-9.520452266210922e-14	9.733634009249556e-14
-4.094383162007724e-11	-1.148650404687814e-13	6.668995817423211e-14
-4.0926835425961254e-11	-4.55637701158423e-14	5.217886559099963e-14
-4.0909839231845266e-11	1.3386220104181495e-14	3.2130137284382215e-14
-4.089284303772928e-11	-2.892861743325039e-14	-5.379190082220489e-14
-4.087584684361329e-11	-1.1623563760146677e-13	-1.661666802282197e-13
-4.08588506494973e-11	-1.415112781645587e-13	-1.9336839555503083e-13
-4.0841854455381315e-11	-5.373139899491935e-14	-8.540776506007446e-14
-4.0824858261265327e-11	7.292761719823792e-14	7.220834041595089e-14
-4.080786206714934e-11	1.1097805473147026e-13	1.5176904026176587e-13
-4.079086587303335e-11	6.739352986720944e-14	1.3226414153766936e-13
-4.077386967891736e-11	4.320709043202214e-14	1.0068842389668033e-13
